"variable","cluster","active"
"x01","cluster_1",TRUE
"x02","cluster_1",TRUE
"x03","cluster_1",TRUE
"x04","cluster_1",TRUE
"x05","cluster_1",TRUE
"x06","cluster_2",FALSE
"x07","cluster_2",FALSE
"x08","cluster_2",FALSE
"x09","cluster_2",FALSE
"x10","cluster_2",FALSE
"x11","cluster_3",FALSE
"x12","cluster_3",FALSE
"x13","cluster_3",FALSE
"x14","cluster_3",FALSE
"x15","cluster_3",FALSE
"x16","cluster_4",FALSE
"x17","cluster_4",FALSE
"x18","cluster_4",FALSE
"x19","cluster_4",FALSE
"x20","cluster_4",FALSE
"x21","cluster_5",FALSE
"x22","cluster_5",FALSE
"x23","cluster_5",FALSE
"x24","cluster_5",FALSE
"x25","cluster_5",FALSE
